"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.0823,"Bsk","very low",0.56314,358.12,58.46,5.09716
0.1309,"Bsk","very low",0.73696,401.81,100.68,8.93929
0.167,"Bsk","very high",0.73015,454.67,241.43,20.7676
0.04068,"Bsk","very low",-0.05124,227.13,1.41,0.58889
0.01407,"Bwk","very low",0.06352,159.4,5.74,1.9053
0.00687,"Bwk","very low",0.03081,157.95,49.97,2.51697
0.01262,"Bwk","very low",0.08273,148.33,0,1.99735
-0.00899,"Bwk","very low",0.24975,115.06,26.46,0.35756
-0.01231,"Bwk","very low",0.28663,116.68,2.49,0.60064
-0.00905,"Bwk","low",0.37296,128.64,0.57,0.12732
-0.00114,"Bwk","low",0.4305,133.06,0,0.139
-0.00576,"Bwk","low",0.52603,131.07,0,1.24567
-0.00937,"Bwk","low",0.62224,127.92,0,1.85112
0.00115,"Bwk","low",0.62135,147.22,0.09,2.43816
0.01221,"Bwk","low",0.55832,173.92,541.39,18.18926
0.00289,"Bwk","very low",0.47751,197.4,3396.91,251.22053
0.0298,"Bsk","medium",0.36368,235.81,0,4.83347
0.07733,"Bsk","medium",0.32984,256.39,0.06,7.3575
0.07327,"Bsk","medium",0.34127,295.62,41.25,5.26693
0.12296,"Bsk","very low",0.4302,345.15,9.27,9.61884
0.14902,"Bsk","very high",0.56951,387.75,95.88,11.8329
0.1709,"Bsk","very high",0.64129,429.82,1690.43,111.70448
0.16071,"Bsk","very high",0.64454,465.67,820.29,66.86609
0.23053,"Dwb","very high",0.61623,481.51,1016.45,34.3391
0.24838,"Dwa","very high",0.60626,465.96,313.32,85.90231
-0.0089,"Bwk","very low",-0.07928,154.74,2.01,0.19369
-0.00888,"Bwk","very low",-0.03931,132.86,1.82,0.25369
-0.01401,"Bwk","very low",0.01526,113.02,0.35,1.39154
-0.01389,"Bwk","very low",0.09244,105.78,0.01,1.48635
-0.01061,"Bwk","very low",0.11734,129.17,0.16,0.32781
-0.00804,"Bwk","very low",0.19585,122.73,0.04,0.32781
-0.01659,"Bwk","very low",0.25474,119.82,4.02,0.36584
-0.014,"Bwk","very low",0.30251,123.76,1.85,0.23341
-0.0045,"Bwk","low",0.34156,139.73,0,0.23911
-0.00591,"Bwk","low",0.42337,151.93,1.07,0.54428
-0.02096,"Bwk","low",0.61796,123.88,103.42,1.83672
-0.01657,"Bwk","low",0.73434,115.91,0,1.69529
-0.01484,"Bwk","low",0.72449,134.55,1.73,1.03981
0.0333,"Bwk","medium",0.62557,182.37,1016.76,125.26486
0.01777,"Bwk","medium",0.54508,217.32,6.54,4.17724
0.0399,"Bwk","very low",0.51945,228.95,0.83,2.45401
0.09264,"Bsk","very low",0.43517,265.73,12.06,9.25753
0.08697,"Bsk","very low",0.38145,324.61,503.59,12.85366
0.12238,"Bsk","high",0.47116,378.59,525.66,46.52966
0.14567,"Bsk","high",0.59182,413.64,2633.86,38.64964
0.17375,"Bsk","high",0.64752,445.94,2088.62,293.31752
0.20519,"Dwb","very high",0.67886,457.72,61.09,14.5905
0.20242,"Dwb","very high",0.66475,465.8,1656.84,88.61344
0.2459,"Dwb","very low",0.66662,456.8,600.39,55.01391
0.25145,"Dwb","very low",0.62124,483.83,69.47,33.38293
-0.02166,"Bwk","very low",-0.12269,116.1,0.88,0.14969
-0.01699,"Bwk","very low",-0.08919,108.51,1.15,0.11736
-0.01728,"Bwk","very low",-0.04597,97.73,0.05,0.01638
-0.01749,"Bwk","very low",-0.00068,93.18,0.69,0.03498
-0.01592,"Bwk","very low",0.05249,95.76,0.41,0.3041
-0.01822,"Bwk","very low",0.08039,114.53,0,0.18442
-0.01303,"Bwk","very low",0.08142,144.44,1.49,0.242
-0.01701,"Bwk","very low",0.11046,159.44,3.07,0.27272
-0.01899,"Bwk","very low",0.22645,135.47,1.33,0.16335
-0.0103,"Bwk","very low",0.26742,151.8,55.27,0.19107
-0.00609,"Bwk","low",0.38616,154.02,0,0.25381
-0.01362,"Bwk","low",0.54208,157.16,0,0.54055
-0.02328,"Bwk","low",0.7645,119.44,0,0.66791
-0.0108,"Bwk","low",0.8389,123.12,15.59,1.27252
0.03515,"Bwk","very low",0.82811,146.45,801.89,48.28275
-0.00014,"Bwk","very low",0.75681,186.67,145.19,6.89427
0.03799,"Bwk","very low",0.69433,210.6,0.98,1.78099
0.07546,"Bsk","very low",0.57241,251.2,76.43,2.10427
0.08868,"Bsk","very low",0.53619,292.49,16.03,9.80602
0.10613,"Bsk","high",0.64263,327.89,97.48,7.95042
0.16365,"Bsk","high",0.76145,356.37,328.07,19.5269
0.25493,"Bsk","high",0.8093,386.65,2380.75,143.49363
0.3099,"Bsk","high",0.82851,408.37,690.32,46.42671
0.28982,"Bsk","very low",0.83167,420.84,1709.11,127.02898
0.28282,"Dwb","very low",0.81873,433.71,1301.35,92.56268
0.22558,"Dwb","very low",0.7833,454.44,168.72,40.51453
0.25848,"Dwb","very low",0.81341,451.39,190.87,32.31974
-0.02012,"Bwk","very low",-0.16565,96.53,0.06,0.01914
-0.01924,"Bwk","very low",-0.11011,92.66,0,0
-0.01866,"Bwk","very low",-0.03631,81.89,0,0
-0.01636,"Bwk","very low",0.01618,80.63,0,0
-0.01718,"Bwk","very low",0.05781,86.76,0,0.06549
-0.02003,"Bwk","very low",0.10755,92.68,0,0.13462
-0.01993,"Bwk","very low",0.15382,101.65,0.09,0.14631
-0.01986,"Bwk","very low",0.18057,121.24,0.79,0.16246
-0.01598,"Bwk","very low",0.19702,148.94,0.04,0.14193
-0.00843,"Bwk","very low",0.33284,132.38,0,0.15095
-2e-05,"Bwk","low",0.47349,132.38,0,0.21495
-0.00352,"Bwk","low",0.58728,156.81,4.49,0.32105
-0.00626,"Bwk","low",0.72776,164.09,3.23,0.64519
0.04018,"Bwk","very low",0.88764,147.32,53.58,1.55492
0.20852,"Bwk","very low",0.98041,136.79,727.26,40.82569
0.19993,"Bwk","very low",0.96031,159.68,3398.86,212.44774
0.03835,"Bwk","very low",0.88914,191.13,55.79,4.91983
0.02969,"Bwk","very low",0.80758,221.7,42.24,5.88611
0.14776,"Bsk","very low",0.79661,260.52,1802.51,89.89351
0.20474,"Bsk","very low",0.86774,319.34,160.63,26.26898
0.21899,"Bsk","very low",0.93154,342.64,13156.48,899.91592
0.20796,"Bsk","very low",0.87689,389.44,4749.18,544.98218
0.28566,"Bsk","low",0.82537,433.04,1860.6,124.96944
0.36341,"Bsk","very low",0.90777,410.97,1554.59,121.1243
0.31726,"Bsk","very low",0.95038,402.11,16589.09,970.86822
0.28596,"Dwb","very low",0.92601,414.91,227.44,63.1732
0.29224,"Dwb","very low",0.88497,432.88,931.24,70.92382
0.21668,"Dwb","very low",0.96041,411.65,1074.46,71.85603
0.23013,"Bsk","very low",1.00657,413.92,500.35,46.28907
0.22366,"Dwb","very low",1.04182,426,270.04,50.66671
-0.02012,"Bwk","very low",-0.10278,67.51,0.04,0.01842
-0.02054,"Bwk","very low",-0.01984,62.59,0,0.02851
-0.00993,"Bwk","very low",0.05922,58.35,0,0.03215
-0.0158,"Bwk","very low",0.0944,65.41,0,0.01409
-0.01667,"Bwk","very low",0.10558,80.89,0,0.0043
-0.01668,"Bwk","very low",0.10635,104.73,0,0.07107
-0.01573,"Bwk","very low",0.13952,119.9,0,0.12401
-0.01927,"Bwk","very low",0.22556,116.46,0,0.12401
-0.01747,"Bwk","very low",0.30932,121.71,0,0.12441
-0.01514,"Bwk","low",0.40692,132.79,0,0.15547
-0.01242,"Bwk","low",0.55802,133.9,0,0.16282
-0.00378,"Bwk","low",0.74646,129.21,9.22,0.60865
-0.00542,"Bwk","very low",0.85688,153.77,0,1.30049
0.01551,"Bwk","very low",0.86087,214.81,6.82,1.49534
0.18217,"Bwk","very low",1.03787,176.52,829.45,64.61007
0.35493,"Bwk","very low",1.12548,158.97,1771.91,154.59579
0.33368,"Bwk","very low",1.10177,182.78,937.36,60.32804
0.35674,"Bwk","very low",1.09109,207.81,1843.64,116.03699
0.35008,"Bsk","very low",1.14696,235.96,104.41,26.40028
0.13617,"Bsk","very low",1.20446,289.92,188.87,23.30337
0.14079,"Bsk","very low",1.06786,354.05,140.85,18.09996
0.17767,"Bsk","very low",0.95241,388.37,880.79,49.91869
0.19283,"Dwb","very low",0.82511,453.22,680.15,25.28983
0.22533,"Dwb","very low",0.85028,451.77,334.4,15.25647
0.26336,"Dwb","very low",0.91096,428.56,1581.38,387.52226
0.26556,"Dwb","very low",0.95962,407.74,469.16,51.51706
0.23057,"Dwc","very low",0.94205,415.83,827.42,53.23833
0.1763,"Dwb","very low",1.04061,378.77,3573.43,245.41431
0.18397,"Bsk","very low",1.11112,367.01,641.6,56.2344
0.18301,"Bsk","very low",1.15154,371.82,854.69,101.2577
-0.01738,"Bwk","very low",-0.39277,111.16,0.57,0.04644
-0.01785,"Bwk","very low",-0.35479,113.73,0.5,0.22124
-0.0102,"Bwk","very low",-0.00302,59.27,3.42,0.29618
-0.01414,"Bwk","very low",0.09107,53.98,0.3,0.0324
-0.01817,"Bwk","very low",0.17722,50.8,0,0.01364
-0.01338,"Bwk","very low",0.21023,57.54,0,0.05543
-0.01526,"Bwk","very low",0.20314,74.3,0,0
-0.0152,"Bwk","very low",0.21253,88.3,0,0.00877
-0.01945,"Bwk","very low",0.247,101.48,0,0.07528
-0.0182,"Bwk","very low",0.34673,96.3,0,0.11946
-0.00499,"Bwk","very low",0.47591,93.01,0,0.12722
-0.01721,"Bwk","low",0.63131,92.22,0,0.14516
-0.01426,"Bwk","low",0.73999,110.82,0,0.16216
-0.01287,"Bwk","very low",0.90488,117.89,0,0.95786
-0.01116,"Bwk","very low",1.04112,134.64,35.24,1.18664
0.00714,"Bwk","very low",1.04154,191.87,0,1.11367
0.01847,"Bwk","very low",0.98998,259.94,0,10.15267
0.10004,"Bwk","very low",1.15324,212.33,60.99,18.34912
0.14718,"Bwk","very low",1.21194,209.63,87.4,13.41882
0.13779,"Bsk","very low",1.22992,228.6,740.51,25.54657
0.10641,"Bsk","very low",1.29533,245.51,106.49,40.86611
0.06106,"Bsk","very low",1.27561,305.05,31.89,6.33736
0.13149,"Bsk","very low",1.20216,336.66,112.21,11.26534
0.21348,"Bsk","very low",1.13215,347.59,70.85,20.29302
0.17269,"Bsk","very low",1.06922,370.49,227.97,17.42562
0.14241,"Bsk","very low",1.05302,379.4,253.87,14.86782
0.22787,"Bsk","very low",1.07422,368.28,791,41.31818
0.2027,"Dwb","very low",1.01824,391.9,210.42,20.70448
0.17119,"Dwb","very low",1.0709,367.24,747.91,48.01322
0.09246,"Bsk","very low",1.12449,352.99,916.07,40.72668
0.16319,"Bsk","very low",1.20075,341.44,1040.17,72.40608
-0.02042,"Bwk","very low",-0.27392,82.82,0.42,0.02971
-0.02176,"Bwk","very low",-0.23695,89.95,0.08,0.02474
-0.02025,"Bwk","very low",-0.17406,97.08,0,0
-0.01714,"Bwk","very low",-0.02485,73.61,3.78,0.13914
-0.01495,"Bwk","very low",0.13337,53.86,2.26,0.15211
-0.00739,"Bwk","very low",0.25197,49.06,0,0.05741
-0.02048,"Bwk","very low",0.34122,47.01,0,0.02314
-0.02018,"Bwk","very low",0.38184,48.09,0,0.04706
-0.01677,"Bwk","very low",0.38508,52.85,8.07,1.21389
-0.01738,"Bwk","very low",0.40683,54.85,10.1,1.50389
-0.01972,"Bwk","very low",0.45154,62.13,0,0.05745
-0.01728,"Bwk","very low",0.52125,71.6,0,0.02029
-0.01307,"Bwk","low",0.63141,78.22,0,0.02701
-0.0201,"Bwk","low",0.77142,83.34,0,0.02669
-0.01967,"Bwk","low",0.91541,89.92,0,0.13469
-0.02179,"Bwk","very low",1.0597,109.05,0,1.24809
-0.02096,"Bwk","very low",1.17801,129.11,0,0.84078
-0.01327,"Bwk","very low",1.23859,159.11,0,0.78619
-0.00529,"Bwk","very low",1.25645,194.58,2.73,0.58846
0.00308,"Bwk","very low",1.2383,233.13,3.38,0.50492
0.01933,"Bwk","very low",1.23325,257.43,12.33,2.69562
0.03417,"Bsk","very low",1.28774,253.18,14.4,7.89306
0.06573,"Bsk","very low",1.30053,278.93,22.2,4.17169
0.07,"Bsk","very low",1.31736,305.59,2.07,1.0918
0.07469,"Bsk","very low",1.33099,304.63,101.76,4.0802
0.07778,"Bsk","very low",1.32669,297.11,372.59,27.3956
0.06644,"Bsk","very low",1.31671,295.24,66.38,13.7373
0.05951,"Bsk","very low",1.28518,306.99,61.7,7.63367
0.12266,"Bsk","very low",1.30009,296.82,96.65,29.55934
0.05681,"Bsk","very low",1.26841,309,129.67,15.22933
0.07288,"Bsk","very low",1.30732,294,86.01,22.15534
0.11416,"Bsk","very low",1.32222,301.51,700.58,32.12734
0.11624,"Bsk","very low",1.32801,322.06,358.42,63.3915
0.14335,"Bsk","very low",1.37253,333.84,1464.77,43.64159
0.1892,"Dwb","very low",1.5515,385.63,121.23,21.94884
0.31518,"Dwa","very low",1.74518,482.05,1552.44,101.5773
0.32986,"Dwa","very low",2.15591,448.82,1810.35,214.86701
-0.01892,"Bwk","very low",-0.20082,87.49,0,0
-0.02235,"Bwk","very low",-0.13203,71.42,0,0
-0.02348,"Bwk","very low",-0.03356,61.19,0,0
-0.02172,"Bwk","very low",0.04206,65.23,0,0
-0.01987,"Bwk","very low",0.187,51.91,6.95,0.52312
-0.01795,"Bwk","very low",0.3235,45.32,10.5,0.95522
-0.01169,"Bwk","very low",0.43888,45.86,1.36,0.43723
-0.01893,"Bwk","very low",0.53468,44.55,0,1.45254
-0.01954,"Bwk","very low",0.57309,43.99,0,0.48375
-0.01933,"Bwk","very low",0.55502,51.37,0,0
-0.01771,"Bwk","very low",0.51581,70.78,0,1.24352
-0.01589,"Bwk","very low",0.52648,83,0,1.07109
-0.02035,"Bwk","very low",0.55482,90.92,0,0.13577
-0.02597,"Bwk","very low",1.40762,140.94,0.63,0.73482
-0.02093,"Bwk","very low",1.48313,157.04,4.14,0.36869
-0.01447,"Bwk","very low",1.46749,190.05,9.82,0.55723
-0.0052,"Bwk","very low",1.46254,214.51,24.61,1.96411
0.01362,"Bwk","very low",1.49938,221.16,24.6,2.02289
0.03891,"Bwk","very low",1.51929,235.54,14.57,1.74874
0.04074,"Bsk","very low",1.5475,243.34,37.29,0.82275
0.03423,"Bsk","very low",1.57577,237.72,4.4,0.38243
0.02909,"Bsk","very low",1.57291,235.8,5.77,1.15608
0.01444,"Bsk","very low",1.57048,233.01,31.24,3.03577
-0.00165,"Bsk","very low",1.55498,236.26,5.2,0.9915
0.02378,"Bsk","very low",1.5169,247.35,0,0.89861
0.01472,"Bsk","very low",1.484,260.79,40.59,4.16858
-0.00183,"Bsk","very low",1.52041,250.97,42.15,2.73091
0.02086,"Bsk","very low",1.51796,269.53,40.64,9.47072
0.04411,"Bsk","very low",1.52233,296.7,176.59,15.44964
0.08759,"Bsk","very low",1.56216,321.98,244.42,46.54984
0.17674,"Bsk","very low",1.7727,368.93,85.65,27.8729
0.24808,"Dwb","very low",1.77105,397.22,520.92,35.79
0.28868,"Dwb","very low",1.79234,402.24,195.43,40.92377
0.32846,"Dwb","very low",1.76852,465.38,1218.89,90.02124
0.33393,"Dwa","very low",2.23497,406.35,1395.2,168.83254
-0.02119,"Bwk","very low",-0.01411,83.92,0,0
-0.01967,"Bwk","very low",0.06208,81.55,0,0
-0.01938,"Bwk","very low",0.20797,61.96,0,0
-0.01903,"Bwk","very low",0.36686,46.77,0.06,0
-0.02042,"Bwk","very low",0.50138,42.51,9.68,0.5759
-0.01793,"Bwk","very low",0.61478,43.93,10.67,0.95163
0.02454,"Bwk","very low",0.7046,45.98,94.58,1.90694
-0.01225,"Bwk","very low",0.72072,52.16,0,1.05304
-0.01875,"Bwk","very low",0.66955,70.01,0,0.87916
-0.01867,"Bwk","very low",0.59686,88.69,0,2.54835
-0.01707,"Bwk","very low",1.66469,203.83,10.89,2.02113
0.00749,"Bwk","very low",1.77217,204.71,0.07,0.39335
0.0087,"Bwk","very low",1.78729,203.18,0.1,0.52505
0.01488,"Bwk","very low",1.80909,191.65,22.69,0.72377
-0.00236,"Bwk","very low",1.79772,191.32,2.04,0.69431
0.00292,"Bwk","very low",1.74295,206.64,0.25,0.21591
-0.00671,"Bsk","very low",1.72841,211.72,0,3.44149
0.00105,"Bsk","very low",1.75001,209.26,0.04,6.91214
-0.02518,"Bsk","very low",1.77084,221.81,67.04,2.19693
-0.02291,"Bsk","very low",1.78472,252.6,2.62,4.01075
0.017,"Bsk","very low",1.84643,280.14,13.45,5.0671
0.08029,"Bsk","very low",1.92997,312.18,76.14,3.32762
0.16481,"Bsk","very low",2.00108,345.83,363.56,16.79308
0.18376,"Bsk","very low",2.00275,358.25,71.39,7.37525
0.20802,"Dwb","very low",1.92542,375.7,262.7,12.92924
0.28444,"Dwb","very low",1.85303,386.61,463.59,18.33066
0.30009,"Dwb","very low",1.36596,428.54,773.17,56.34077
0.24636,"Bsk","very low",1.72594,400.42,6493.84,524.92349
0.31953,"Dwa","very low",2.7938,454.15,567.1,63.3173
-0.02067,"Bwk","very low",0.13795,81.42,1.8,0.12622
-0.02087,"Bwk","very low",0.22659,76.64,6.28,0.39589
-0.01719,"Bwk","very low",0.35658,64.54,0.12,0.02804
-0.0128,"Bwk","very low",0.50017,53.25,0,0
-0.01499,"Bwk","very low",0.62755,49.32,0.69,0.04386
-0.01785,"Bwk","very low",0.74267,48.02,0.76,0.24444
-0.01683,"Bwk","very low",0.81417,52.35,37.83,0.72347
-0.00756,"Bwk","very low",0.80915,65.67,0,0.45487
0.00148,"Bwk","very low",2.01233,171.11,1.95,0.4265
0.00994,"Bwk","very low",2.03333,161.81,5.99,0.28089
-0.00872,"Bwk","very low",1.99133,168.1,0.05,0.21579
0.00014,"Bwk","very low",1.94857,180.47,0,8.33858
0.00601,"Bsk","very low",1.94934,183.7,324.18,10.47237
-0.0014,"Bsk","very low",1.987,189.66,11.13,1.55185
-0.01507,"Bsk","very low",2.00322,220.68,7.82,0.71624
0.03499,"Bsk","very low",2.05514,251.84,11.37,0.95641
0.10084,"Bsk","very low",2.11615,284.09,67.46,2.26777
0.11633,"Bsk","very low",2.13601,317.85,0.09,2.70356
0.15652,"Bsk","very low",2.08409,344.11,40.27,3.54242
0.20803,"Dwb","very low",1.97861,363.38,55.22,5.58234
0.1846,"Dwb","very low",1.83007,386.15,23.26,3.26376
0.32379,"Dwb","very low",1.62209,418.44,19.55,3.45557
0.42554,"Dwc","very low",1.3116,462,48.07,6.52605
0.38864,"Dwc","very low",0.98821,463.47,322.96,19.75154
0.26897,"Dwb","very low",0.9953,416.7,191.21,31.80544
0.23695,"Bsk","very low",1.44042,393.75,756.17,63.65507
0.2846,"Bsk","very low",2.00279,386.41,703.49,93.43702
0.26254,"Dwa","very low",2.30376,410.32,830.29,95.55347
0.28645,"Dwa","very low",2.17518,429.61,518.64,73.04618
0.38102,"Bsk","very low",2.03174,432.84,670.87,46.53209
-0.01875,"Bwk","very low",0.23801,72.68,1.81,0.21564
-0.01878,"Bwk","very low",0.31105,66.45,8.19,0.49501
-0.01661,"Bwk","very low",0.41878,56.38,11.79,1.19023
-0.01361,"Bwk","very low",0.50603,53.88,6.45,1.00008
0.04359,"Bwk","very low",2.17162,171.7,2.43,0.28137
0.01365,"Bwk","very low",2.18049,156.12,4.97,0.48162
0.01929,"Bwk","very low",2.14273,161.24,0,0.93048
0.02228,"Bsk","very low",2.11028,173.29,2.07,2.88298
0.00736,"Bsk","very low",2.12919,180.22,65.31,1.81111
0.01101,"Bsk","very low",2.14454,206.17,7.26,0.80438
0.04435,"Bsk","low",2.18168,236.42,11.3,0.94214
0.06767,"Bsk","low",2.20893,268.98,11.49,0.97645
0.09491,"Bsk","low",2.18306,304.11,3.49,1.37365
0.13786,"Bsk","very low",2.1017,333.13,28.67,2.29339
0.18911,"Dwb","very low",1.97388,356.46,63.82,2.32204
0.21821,"Dwb","very low",1.81395,375.97,128.46,9.00268
0.24907,"Dwb","very low",1.62051,391.8,88.72,3.79978
0.34407,"Dwb","very low",1.34542,410.44,0,19.04485
0.34208,"Dwb","very low",1.01842,426.15,63.42,15.24915
0.27122,"Dwb","very low",0.95787,410.71,213.88,29.62743
0.22197,"Bsk","very low",1.28053,393.19,1183.98,53.46711
0.13442,"Bsk","very low",1.57079,396.94,216.71,34.95476
0.19422,"Bsk","very low",1.63624,400.76,334.21,38.87735
0.23197,"Bsk","very low",1.39626,413.7,876.53,53.10731
0.2835,"Dwa","very low",1.27555,428.01,176.76,45.85872
0.26525,"Dwa","very low",1.50472,439.85,129.9,35.38444
0.26995,"Dwa","very low",2.03272,435.16,655.2,51.9236
-0.01418,"Bwk","very low",0.35748,57.72,1.19,0.20886
-0.00516,"Bwk","very low",2.31057,150.06,497.71,36.39006
0.02367,"Bwk","very low",2.26073,163.4,2.61,1.19305
0.0157,"Bsk","very low",2.23936,178.5,0.97,1.59242
0.02322,"Bsk","low",2.22632,207.44,0.67,2.66557
0.04258,"Bsk","low",2.26207,230.78,0.49,1.80915
0.0882,"Bsk","low",2.25895,265.69,3.19,1.37866
0.14329,"Bsk","very low",2.23123,286.67,35.25,0.7377
0.15478,"Bsk","very low",2.10322,322.49,14.3,1.33221
0.24393,"Dwb","very low",1.91842,364.19,4.8,1.19031
0.2675,"Dwb","medium",1.77823,373.42,13.89,1.92794
0.36954,"Dwb","very low",1.58799,393.98,28.65,4.20356
0.38748,"Dwb","very low",1.3272,425.09,556.56,36.78565
0.28083,"Dwb","very low",1.13714,396.03,203.13,27.32828
0.23227,"Bsk","very low",1.03637,384.1,175.52,37.79069
0.15703,"Bsk","very low",1.15413,384.35,69,35.20631
0.14045,"Bsk","very low",1.28802,391.02,176.36,21.48669
0.10608,"Bsk","very low",1.27386,397.1,60.23,10.55297
0.13535,"Bsk","very low",1.13408,403.43,176.58,48.91418
0.18099,"Bsk","very low",1.12751,408.83,1260.21,51.16919
0.14781,"Dwa","very low",1.35474,416.63,116.21,25.1441
0.15454,"Dwa","very low",1.88084,427.78,132.66,19.67856
0.25655,"Dwa","very low",2.67797,441.56,830.63,52.17139
0.36077,"Dwa","very low",3.22051,450.68,439.51,45.10519
0.01921,"Bwk","low",2.41166,162.45,3.01,6.86483
0.0061,"Bwk","low",2.38263,159.98,7.44,0.63757
-0.00161,"Bsk","low",2.36719,168.93,5.18,0.85941
0.00378,"Bsk","low",2.33593,199.56,105.52,2.3354
0.02598,"Bsk","low",2.34462,230.63,0,2.58001
0.07909,"Bsk","very low",2.31877,263.75,0,2.61617
0.19035,"Bsk","very low",2.21308,301.3,235.17,5.68377
0.20439,"Bsk","medium",2.09544,317.43,23.23,15.58163
0.21796,"Bsk","medium",1.94589,333.77,1483.19,75.40994
0.30511,"Dwb","medium",1.7601,364.21,0.2,1.2763
0.39026,"Dwb","very low",1.5397,405.97,1.31,2.92498
0.4518,"Dwc","very low",1.28988,447.5,207.74,10.89409
0.29549,"Dwb","very low",1.21187,396.5,1202.08,73.9603
0.24917,"Dwb","very low",1.06061,405.32,645.83,26.45277
0.22528,"Dwb","very low",1.05862,418.13,350.33,11.32873
0.1899,"Bsk","very low",1.18507,404.76,479.07,25.38877
0.18698,"Bsk","very low",1.26215,394.15,323.31,17.89832
0.29266,"Bsk","very low",1.28365,393.11,588.07,27.20963
0.29561,"Bsk","very low",1.40174,391.77,1576.12,65.1185
0.29674,"Bsk","very low",1.56261,394.66,804.74,76.8201
0.28176,"Bsk","very low",1.81253,403.83,1318.51,89.09445
0.19475,"Dwa","very low",2.2861,426.77,80.91,26.81575
0.27363,"Dwa","very low",2.7445,456.5,215.3,22.92636
0.39377,"Dwa","very low",2.93897,484.3,1437,68.97428
0.0189,"Bwk","low",2.55677,176.75,20.25,0.19673
0.00967,"Bwk","low",2.47801,175.86,0,0.19673
0.04473,"Bsk","low",2.38862,196.68,1.57,0.30023
0.04615,"Bsk","low",2.39873,197.58,1.33,0.73127
0.05006,"Bsk","low",2.44127,205.4,35.17,1.07692
0.05698,"Bsk","very low",2.45801,228.32,0,0.60728
0.09412,"Bsk","very low",2.37744,266.03,4.31,1.13973
0.17094,"Bsk","very low",2.21222,312.09,4.56,6.64397
0.16412,"Bsk","medium",2.07884,321.96,33.58,14.89175
0.23283,"Bsk","medium",1.94474,326.62,396.36,36.94775
0.3059,"Dwb","medium",1.73766,370.28,31.16,1.07538
0.30766,"Dwb","high",1.57325,397.98,0,1.76467
0.3753,"Dwc","very low",1.40084,429.23,64.9,6.28545
0.36223,"Dwb","very low",1.29729,431.6,274.22,24.56837
0.31849,"Dwb","very low",1.17718,457.99,64.81,12.61932
0.34932,"Dwb","very low",1.20153,444.38,668.6,61.68774
0.2701,"Bsk","very low",1.29638,421.45,785.5,75.90724
0.19261,"Bsk","very low",1.38596,408.03,896.95,80.70043
0.20557,"Bsk","very low",1.46861,389.18,133.64,12.8934
0.24795,"Bsk","very low",1.57373,383.07,328.14,64.60852
0.32236,"Bsk","very low",1.643,381.67,790.89,78.34872
0.33063,"Bsk","very low",1.69698,388.69,4852.21,257.09572
0.35631,"Dwa","very low",1.94315,413.3,1332.16,256.98113
