"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.04068,"Bsk","very low","[-0.393,0.311]","(222,312]","(0.25,3.42]","(0.23,0.9]"
0.01407,"Bwk","very low","[-0.393,0.311]","(133,222]","(3.42,14.6]","(0.9,2.02]"
0.00687,"Bwk","very low","[-0.393,0.311]","(133,222]","(14.6,61]","(2.02,5.25]"
0.01262,"Bwk","very low","[-0.393,0.311]","(133,222]","[0,0.25]","(0.9,2.02]"
-0.00899,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(14.6,61]","(0.23,0.9]"
-0.01231,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","(0.23,0.9]"
-0.00905,"Bwk","low","(0.311,0.661]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.00114,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
-0.00576,"Bwk","low","(0.311,0.661]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.00937,"Bwk","low","(0.311,0.661]","[42.5,133]","[0,0.25]","(0.9,2.02]"
0.00115,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(2.02,5.25]"
0.01221,"Bwk","low","(0.311,0.661]","(133,222]","(177,588]","(14.8,40.6]"
0.00289,"Bwk","very low","(0.311,0.661]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.0298,"Bsk","medium","(0.311,0.661]","(222,312]","[0,0.25]","(2.02,5.25]"
0.07733,"Bsk","medium","(0.311,0.661]","(222,312]","[0,0.25]","(5.25,14.8]"
0.07327,"Bsk","medium","(0.311,0.661]","(222,312]","(14.6,61]","(5.25,14.8]"
0.12296,"Bsk","very low","(0.311,0.661]","(312,402]","(3.42,14.6]","(5.25,14.8]"
0.14902,"Bsk","very high","(0.311,0.661]","(312,402]","(61,177]","(5.25,14.8]"
0.1709,"Bsk","very high","(0.311,0.661]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.16071,"Bsk","very high","(0.311,0.661]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.23053,"Dwb","very high","(0.311,0.661]","(402,492]","(588,1.66e+04]","(14.8,40.6]"
0.24838,"Dwa","very high","(0.311,0.661]","(402,492]","(177,588]","(40.6,971]"
-0.0089,"Bwk","very low","[-0.393,0.311]","(133,222]","(0.25,3.42]","[0,0.23]"
-0.00888,"Bwk","very low","[-0.393,0.311]","(133,222]","(0.25,3.42]","(0.23,0.9]"
-0.01401,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","(0.9,2.02]"
-0.01389,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.01061,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","(0.23,0.9]"
-0.00804,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","(0.23,0.9]"
-0.01659,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(3.42,14.6]","(0.23,0.9]"
-0.014,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","(0.23,0.9]"
-0.0045,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(0.23,0.9]"
-0.00591,"Bwk","low","(0.311,0.661]","(133,222]","(0.25,3.42]","(0.23,0.9]"
-0.02096,"Bwk","low","(0.311,0.661]","[42.5,133]","(61,177]","(0.9,2.02]"
-0.01657,"Bwk","low","(0.661,1.01]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.01484,"Bwk","low","(0.661,1.01]","(133,222]","(0.25,3.42]","(0.9,2.02]"
0.0333,"Bwk","medium","(0.311,0.661]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.01777,"Bwk","medium","(0.311,0.661]","(133,222]","(3.42,14.6]","(2.02,5.25]"
0.0399,"Bwk","very low","(0.311,0.661]","(222,312]","(0.25,3.42]","(2.02,5.25]"
0.09264,"Bsk","very low","(0.311,0.661]","(222,312]","(3.42,14.6]","(5.25,14.8]"
0.08697,"Bsk","very low","(0.311,0.661]","(312,402]","(177,588]","(5.25,14.8]"
0.12238,"Bsk","high","(0.311,0.661]","(312,402]","(177,588]","(40.6,971]"
0.14567,"Bsk","high","(0.311,0.661]","(402,492]","(588,1.66e+04]","(14.8,40.6]"
0.17375,"Bsk","high","(0.311,0.661]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.20519,"Dwb","very high","(0.661,1.01]","(402,492]","(61,177]","(5.25,14.8]"
0.20242,"Dwb","very high","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.2459,"Dwb","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.25145,"Dwb","very low","(0.311,0.661]","(402,492]","(61,177]","(14.8,40.6]"
-0.02166,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.01699,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.01728,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01749,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.01592,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","(0.23,0.9]"
-0.01822,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01303,"Bwk","very low","[-0.393,0.311]","(133,222]","(0.25,3.42]","(0.23,0.9]"
-0.01701,"Bwk","very low","[-0.393,0.311]","(133,222]","(0.25,3.42]","(0.23,0.9]"
-0.01899,"Bwk","very low","[-0.393,0.311]","(133,222]","(0.25,3.42]","[0,0.23]"
-0.0103,"Bwk","very low","[-0.393,0.311]","(133,222]","(14.6,61]","[0,0.23]"
-0.00609,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(0.23,0.9]"
-0.01362,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(0.23,0.9]"
-0.02328,"Bwk","low","(0.661,1.01]","[42.5,133]","[0,0.25]","(0.23,0.9]"
-0.0108,"Bwk","low","(0.661,1.01]","[42.5,133]","(14.6,61]","(0.9,2.02]"
0.03515,"Bwk","very low","(0.661,1.01]","(133,222]","(588,1.66e+04]","(40.6,971]"
-0.00014,"Bwk","very low","(0.661,1.01]","(133,222]","(61,177]","(5.25,14.8]"
0.03799,"Bwk","very low","(0.661,1.01]","(133,222]","(0.25,3.42]","(0.9,2.02]"
0.07546,"Bsk","very low","(0.311,0.661]","(222,312]","(61,177]","(2.02,5.25]"
0.08868,"Bsk","very low","(0.311,0.661]","(222,312]","(14.6,61]","(5.25,14.8]"
0.10613,"Bsk","high","(0.311,0.661]","(312,402]","(61,177]","(5.25,14.8]"
0.16365,"Bsk","high","(0.661,1.01]","(312,402]","(177,588]","(14.8,40.6]"
0.25493,"Bsk","high","(0.661,1.01]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.3099,"Bsk","high","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.28982,"Bsk","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.28282,"Dwb","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.22558,"Dwb","very low","(0.661,1.01]","(402,492]","(61,177]","(14.8,40.6]"
0.25848,"Dwb","very low","(0.661,1.01]","(402,492]","(177,588]","(14.8,40.6]"
-0.02012,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01924,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01866,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01636,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01718,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02003,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01993,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01986,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.01598,"Bwk","very low","[-0.393,0.311]","(133,222]","[0,0.25]","[0,0.23]"
-0.00843,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-2e-05,"Bwk","low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.00352,"Bwk","low","(0.311,0.661]","(133,222]","(3.42,14.6]","(0.23,0.9]"
-0.00626,"Bwk","low","(0.661,1.01]","(133,222]","(0.25,3.42]","(0.23,0.9]"
0.04018,"Bwk","very low","(0.661,1.01]","(133,222]","(14.6,61]","(0.9,2.02]"
0.20852,"Bwk","very low","(0.661,1.01]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.19993,"Bwk","very low","(0.661,1.01]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.03835,"Bwk","very low","(0.661,1.01]","(133,222]","(14.6,61]","(2.02,5.25]"
0.02969,"Bwk","very low","(0.661,1.01]","(133,222]","(14.6,61]","(5.25,14.8]"
0.14776,"Bsk","very low","(0.661,1.01]","(222,312]","(588,1.66e+04]","(40.6,971]"
0.20474,"Bsk","very low","(0.661,1.01]","(312,402]","(61,177]","(14.8,40.6]"
0.21899,"Bsk","very low","(0.661,1.01]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.20796,"Bsk","very low","(0.661,1.01]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.28566,"Bsk","low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.36341,"Bsk","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.31726,"Bsk","very low","(0.661,1.01]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.28596,"Dwb","very low","(0.661,1.01]","(402,492]","(177,588]","(40.6,971]"
0.29224,"Dwb","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.21668,"Dwb","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.23013,"Bsk","very low","(0.661,1.01]","(402,492]","(177,588]","(40.6,971]"
0.22366,"Dwb","very low","(1.01,1.36]","(402,492]","(177,588]","(40.6,971]"
-0.02012,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02054,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.00993,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.0158,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01667,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01668,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01573,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01927,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01747,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01514,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
-0.01242,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
-0.00378,"Bwk","low","(0.661,1.01]","[42.5,133]","(3.42,14.6]","(0.23,0.9]"
-0.00542,"Bwk","very low","(0.661,1.01]","(133,222]","[0,0.25]","(0.9,2.02]"
0.01551,"Bwk","very low","(0.661,1.01]","(133,222]","(3.42,14.6]","(0.9,2.02]"
0.18217,"Bwk","very low","(1.01,1.36]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.35493,"Bwk","very low","(1.01,1.36]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.33368,"Bwk","very low","(1.01,1.36]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.35674,"Bwk","very low","(1.01,1.36]","(133,222]","(588,1.66e+04]","(40.6,971]"
0.35008,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(14.8,40.6]"
0.13617,"Bsk","very low","(1.01,1.36]","(222,312]","(177,588]","(14.8,40.6]"
0.14079,"Bsk","very low","(1.01,1.36]","(312,402]","(61,177]","(14.8,40.6]"
0.17767,"Bsk","very low","(0.661,1.01]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.19283,"Dwb","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(14.8,40.6]"
0.22533,"Dwb","very low","(0.661,1.01]","(402,492]","(177,588]","(14.8,40.6]"
0.26336,"Dwb","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.26556,"Dwb","very low","(0.661,1.01]","(402,492]","(177,588]","(40.6,971]"
0.23057,"Dwc","very low","(0.661,1.01]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.1763,"Dwb","very low","(1.01,1.36]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.18397,"Bsk","very low","(1.01,1.36]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.18301,"Bsk","very low","(1.01,1.36]","(312,402]","(588,1.66e+04]","(40.6,971]"
-0.01738,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.01785,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.0102,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","(0.23,0.9]"
-0.01414,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.01817,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01338,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01526,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.0152,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01945,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.0182,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.00499,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01721,"Bwk","low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01426,"Bwk","low","(0.661,1.01]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01287,"Bwk","very low","(0.661,1.01]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.01116,"Bwk","very low","(1.01,1.36]","(133,222]","(14.6,61]","(0.9,2.02]"
0.00714,"Bwk","very low","(1.01,1.36]","(133,222]","[0,0.25]","(0.9,2.02]"
0.01847,"Bwk","very low","(0.661,1.01]","(222,312]","[0,0.25]","(5.25,14.8]"
0.10004,"Bwk","very low","(1.01,1.36]","(133,222]","(14.6,61]","(14.8,40.6]"
0.14718,"Bwk","very low","(1.01,1.36]","(133,222]","(61,177]","(5.25,14.8]"
0.13779,"Bsk","very low","(1.01,1.36]","(222,312]","(588,1.66e+04]","(14.8,40.6]"
0.10641,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(40.6,971]"
0.06106,"Bsk","very low","(1.01,1.36]","(222,312]","(14.6,61]","(5.25,14.8]"
0.13149,"Bsk","very low","(1.01,1.36]","(312,402]","(61,177]","(5.25,14.8]"
0.21348,"Bsk","very low","(1.01,1.36]","(312,402]","(61,177]","(14.8,40.6]"
0.17269,"Bsk","very low","(1.01,1.36]","(312,402]","(177,588]","(14.8,40.6]"
0.14241,"Bsk","very low","(1.01,1.36]","(312,402]","(177,588]","(14.8,40.6]"
0.22787,"Bsk","very low","(1.01,1.36]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.2027,"Dwb","very low","(1.01,1.36]","(312,402]","(177,588]","(14.8,40.6]"
0.17119,"Dwb","very low","(1.01,1.36]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.09246,"Bsk","very low","(1.01,1.36]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.16319,"Bsk","very low","(1.01,1.36]","(312,402]","(588,1.66e+04]","(40.6,971]"
-0.02042,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.02176,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02025,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01714,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(3.42,14.6]","[0,0.23]"
-0.01495,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(0.25,3.42]","[0,0.23]"
-0.00739,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02048,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02018,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01677,"Bwk","very low","(0.311,0.661]","[42.5,133]","(3.42,14.6]","(0.9,2.02]"
-0.01738,"Bwk","very low","(0.311,0.661]","[42.5,133]","(3.42,14.6]","(0.9,2.02]"
-0.01972,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01728,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01307,"Bwk","low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.0201,"Bwk","low","(0.661,1.01]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01967,"Bwk","low","(0.661,1.01]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02179,"Bwk","very low","(1.01,1.36]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.02096,"Bwk","very low","(1.01,1.36]","[42.5,133]","[0,0.25]","(0.23,0.9]"
-0.01327,"Bwk","very low","(1.01,1.36]","(133,222]","[0,0.25]","(0.23,0.9]"
-0.00529,"Bwk","very low","(1.01,1.36]","(133,222]","(0.25,3.42]","(0.23,0.9]"
0.00308,"Bwk","very low","(1.01,1.36]","(222,312]","(0.25,3.42]","(0.23,0.9]"
0.01933,"Bwk","very low","(1.01,1.36]","(222,312]","(3.42,14.6]","(2.02,5.25]"
0.03417,"Bsk","very low","(1.01,1.36]","(222,312]","(3.42,14.6]","(5.25,14.8]"
0.06573,"Bsk","very low","(1.01,1.36]","(222,312]","(14.6,61]","(2.02,5.25]"
0.07,"Bsk","very low","(1.01,1.36]","(222,312]","(0.25,3.42]","(0.9,2.02]"
0.07469,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(2.02,5.25]"
0.07778,"Bsk","very low","(1.01,1.36]","(222,312]","(177,588]","(14.8,40.6]"
0.06644,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(5.25,14.8]"
0.05951,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(5.25,14.8]"
0.12266,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(14.8,40.6]"
0.05681,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(14.8,40.6]"
0.07288,"Bsk","very low","(1.01,1.36]","(222,312]","(61,177]","(14.8,40.6]"
0.11416,"Bsk","very low","(1.01,1.36]","(222,312]","(588,1.66e+04]","(14.8,40.6]"
0.11624,"Bsk","very low","(1.01,1.36]","(312,402]","(177,588]","(40.6,971]"
0.14335,"Bsk","very low","(1.36,1.71]","(312,402]","(588,1.66e+04]","(40.6,971]"
0.1892,"Dwb","very low","(1.36,1.71]","(312,402]","(61,177]","(14.8,40.6]"
0.31518,"Dwa","very low","(1.71,2.07]","(402,492]","(588,1.66e+04]","(40.6,971]"
0.32986,"Dwa","very low","(2.07,3.22]","(402,492]","(588,1.66e+04]","(40.6,971]"
-0.01892,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02235,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02348,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02172,"Bwk","very low","[-0.393,0.311]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01987,"Bwk","very low","[-0.393,0.311]","[42.5,133]","(3.42,14.6]","(0.23,0.9]"
-0.01795,"Bwk","very low","(0.311,0.661]","[42.5,133]","(3.42,14.6]","(0.9,2.02]"
-0.01169,"Bwk","very low","(0.311,0.661]","[42.5,133]","(0.25,3.42]","(0.23,0.9]"
-0.01893,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.01954,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","(0.23,0.9]"
-0.01933,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.01771,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.01589,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","(0.9,2.02]"
-0.02035,"Bwk","very low","(0.311,0.661]","[42.5,133]","[0,0.25]","[0,0.23]"
-0.02597,"Bwk","very low","(1.36,1.71]","(133,222]","(0.25,3.42]","(0.23,0.9]"
-0.02093,"Bwk","very low","(1.36,1.71]","(133,222]","(3.42,14.6]","(0.23,0.9]"
-0.01447,"Bwk","very low","(1.36,1.71]","(133,222]","(3.42,14.6]","(0.23,0.9]"
-0.0052,"Bwk","very low","(1.36,1.71]","(133,222]","(14.6,61]","(0.9,2.02]"
0.01362,"Bwk","very low","(1.36,1.71]","(133,222]","(14.6,61]","(2.02,5.25]"
0.03891,"Bwk","very low","(1.36,1.71]","(222,312]","(3.42,14.6]","(0.9,2.02]"
0.04074,"Bsk","very low","(1.36,1.71]","(222,312]","(14.6,61]","(0.23,0.9]"
0.03423,"Bsk","very low","(1.36,1.71]","(222,312]","(3.42,14.6]","(0.23,0.9]"
0.02909,"Bsk","very low","(1.36,1.71]","(222,312]","(3.42,14.6]","(0.9,2.02]"
0.01444,"Bsk","very low","(1.36,1.71]","(222,312]","(14.6,61]","(2.02,5.25]"
-0.00165,"Bsk","very low","(1.36,1.71]","(222,312]","(3.42,14.6]","(0.9,2.02]"
0.02378,"Bsk","very low","(1.36,1.71]","(222,312]","[0,0.25]","(0.23,0.9]"
0.01472,"Bsk","very low","(1.36,1.71]","(222,312]","(14.6,61]","(2.02,5.25]"
-0.00183,"Bsk","very low","(1.36,1.71]","(222,312]","(14.6,61]","(2.02,5.25]"
0.02086,"Bsk","very low","(1.36,1.71]","(222,312]","(14.6,61]","(5.25,14.8]"
0.04411,"Bsk","very low","(1.36,1.71]","(222,312]","(177,588]","(14.8,40.6]"
0.08759,"Bsk","very low","(1.36,1.71]","(312,402]","(177,588]","(40.6,971]"
0.17674,"Bsk","very low","(1.71,2.07]","(312,402]","(61,177]","(14.8,40.6]"
0.24808,"Dwb","very low","(1.71,2.07]","(312,402]","(177,588]","(14.8,40.6]"
