"block_id","col","row","x_km","y_km","gamma_a","gamma_b","Ii_a","p_a","class_a","Ii_b","p_b","class_b","cluster","strategy"
53,13,2,125,15,0.163750230883802,0.200987664161765,0.71770925871569,0.01,"LL",5.98862569814201,0.001,"LL","Cold spot","Increase both"
54,14,2,135,15,0.201529786580467,0.19333145685587,0.462957376170268,0.028,"LL",5.60641421580293,0.001,"LL","Cold spot","Increase both"
55,15,2,145,15,0.187865955559528,0.218414385181473,0.36750133895803,0.105,"Not significant",4.11854002134117,0.001,"LL","Others","Increase quality"
56,16,2,155,15,0.250289241304227,0.317946416851087,0.143535367455741,0.243,"Not significant",2.04497040928369,0.001,"LL","Others","Increase quality"
57,17,2,165,15,0.248912300283419,0.386326185977504,0.0357155030499849,0.774,"Not significant",0.721134643097474,0.028,"LL","Others","Increase quality"
58,18,2,175,15,0.380616813125449,0.503323800149765,-0.0106201061674075,0.902,"Not significant",0.0285455843588665,0.428,"Not significant","Others","No cold spot"
59,19,2,185,15,0.365141989699481,0.587342699434523,0.000744476589035949,0.991,"Not significant",-0.0164899334578755,0.929,"Not significant","Others","No cold spot"
60,20,2,195,15,0.316381168728057,0.552433015989265,0.00650988613822862,0.693,"Not significant",0.0306312938241478,0.713,"Not significant","Others","No cold spot"
61,21,2,205,15,0.211934436892112,0.491025762357539,0.105763965157255,0.583,"Not significant",-0.0463184014303367,0.508,"Not significant","Others","No cold spot"
62,22,2,215,15,0.25047213711979,0.560962123967861,0.102854301473112,0.404,"Not significant",0.0600372334646263,0.599,"Not significant","Others","No cold spot"
63,23,2,225,15,0.2634848848104,0.566961549901384,0.098468898027791,0.363,"Not significant",0.080426386530012,0.522,"Not significant","Others","No cold spot"
64,24,2,235,15,0.211713962571993,0.54119711080415,0.246565960021433,0.202,"Not significant",0.0602099890873744,0.317,"Not significant","Others","No cold spot"
65,25,2,245,15,0.200465268171793,0.608078759032275,0.41498861597782,0.044,"LL",0.196096603671161,0.392,"Not significant","Others","Increase quantity"
66,26,2,255,15,0.141817925495756,0.584568495670973,0.814966971689754,0.005,"LL",-0.0186919184829044,0.915,"Not significant","Others","Increase quantity"
67,27,2,265,15,0.092371455529825,0.38700569876105,1.11647332271735,0.006,"LL",0.162333776143855,0.634,"Not significant","Others","Increase quantity"
68,28,2,275,15,0.131343683512429,0.527245693548651,0.822634445097283,0.015,"LL",-0.0251993237171545,0.34,"Not significant","Others","Increase quantity"
69,29,2,285,15,0.199876348971633,0.511213528190362,0.353969192198882,0.103,"Not significant",0.0106845551239226,0.48,"Not significant","Others","No cold spot"
70,30,2,295,15,0.281665996242444,0.448752256605381,0.0509909249669996,0.509,"Not significant",0.106467593309452,0.562,"Not significant","Others","No cold spot"
71,31,2,305,15,0.346300681203051,0.504008704698289,-0.00485488122345893,0.898,"Not significant",0.0453552790086682,0.179,"Not significant","Others","No cold spot"
72,32,2,315,15,0.29742211655238,0.44096863773955,0.00226400894992011,0.955,"Not significant",0.263471111358719,0.156,"Not significant","Others","No cold spot"
73,33,2,325,15,0.301201275937907,0.427536755838396,0.0343343742248447,0.417,"Not significant",0.477130198272806,0.048,"LL","Others","Increase quality"
74,34,2,335,15,0.164022840078247,0.378112974009905,0.373941861034983,0.169,"Not significant",0.954358707066649,0.008,"LL","Others","Increase quality"
75,35,2,345,15,0.162252380071412,0.329188714407694,0.541308480945171,0.052,"Not significant",1.1982403454324,0.017,"LL","Others","Increase quality"
76,36,2,355,15,0.187150074357153,0.447612377999905,0.386314483202999,0.103,"Not significant",0.330217646603279,0.058,"Not significant","Others","No cold spot"
77,37,2,365,15,0.278687231559603,0.490660364901402,0.0704206330891491,0.378,"Not significant",0.051599960576646,0.455,"Not significant","Others","No cold spot"
78,38,2,375,15,0.355995029927927,0.502645194512911,0.0112805071362164,0.816,"Not significant",-0.00279703497514774,0.935,"Not significant","Others","No cold spot"
79,39,2,385,15,0.444792539743445,0.530183475190954,0.191913758790575,0.353,"Not significant",0.0148002330630839,0.662,"Not significant","Others","No cold spot"
80,40,2,395,15,0.4226124100151,0.53469760741242,0.226454289470487,0.29,"Not significant",0.0348421189322846,0.519,"Not significant","Others","No cold spot"
81,1,3,5,25,0.134982785324784,0.52086929466931,0.940693175571433,0.024,"LL",-0.019535376307414,0.079,"Not significant","Others","Increase quantity"
82,2,3,15,25,0.123775079850493,0.524568856020998,1.00969762671488,0.006,"LL",-0.043830191006357,0.018,"HL","Others","Increase quantity"
83,3,3,25,25,0.0977046723221009,0.369941060142963,1.17902002248758,0.004,"LL",0.748847553778322,0.034,"LL","Cold spot","Increase both"
84,4,3,35,25,0.0806531617600562,0.37910885631065,1.23928663465279,0.004,"LL",0.54706707186732,0.125,"Not significant","Others","Increase quantity"
85,5,3,45,25,0.132066599404813,0.575386436018648,0.865901230045712,0.015,"LL",-0.0762646458579232,0.612,"Not significant","Others","Increase quantity"
86,6,3,55,25,0.237031757422376,0.66544204303821,0.333937388046477,0.03,"LL",0.124906279122257,0.74,"Not significant","Others","Increase quantity"
87,7,3,65,25,0.214573037704546,0.5357995516924,0.325930678483249,0.073,"Not significant",0.0433775037620035,0.352,"Not significant","Others","No cold spot"
88,8,3,75,25,0.238587247958957,0.511890483725683,0.275615055684509,0.056,"Not significant",0.000176192323435165,0.987,"Not significant","Others","No cold spot"
89,9,3,85,25,0.182060079856151,0.466430451894398,0.492839109157537,0.046,"LL",0.192839528523295,0.127,"Not significant","Others","Increase quantity"
90,10,3,95,25,0.208909561059367,0.444307176702496,0.497268496953133,0.016,"LL",0.60987419094162,0.005,"LL","Cold spot","Increase both"
91,11,3,105,25,0.123101141508702,0.275466932008649,0.931586320735119,0.005,"LL",3.2230602907545,0.001,"LL","Cold spot","Increase both"
92,12,3,115,25,0.109550608214685,0.243204946556251,0.991510155691265,0.01,"LL",4.38301165658545,0.001,"LL","Cold spot","Increase both"
93,13,3,125,25,0.155518851129325,0.174659044391959,0.751474684381449,0.006,"LL",5.82753477725312,0.001,"LL","Cold spot","Increase both"
94,14,3,135,25,0.163556076226124,0.24307337248013,0.62781164025969,0.023,"LL",4.37309251805786,0.001,"LL","Cold spot","Increase both"
95,15,3,145,25,0.184579609321546,0.219010887231478,0.488569436964893,0.038,"LL",3.77914938751969,0.001,"LL","Cold spot","Increase both"
96,16,3,155,25,0.183860707361598,0.33809775368698,0.397411121521429,0.11,"Not significant",1.56679192215584,0.002,"LL","Others","Increase quality"
97,17,3,165,25,0.278562805070431,0.45477768855193,0.0945463308916608,0.233,"Not significant",0.215718460166903,0.185,"Not significant","Others","No cold spot"
98,18,3,175,25,0.297739180444168,0.566640506311433,0.0397503092166679,0.424,"Not significant",-0.00332164652468441,0.989,"Not significant","Others","No cold spot"
99,19,3,185,25,0.239785409970644,0.520441537296104,0.0970268353614368,0.502,"Not significant",0.00620565762374711,0.456,"Not significant","Others","No cold spot"
100,20,3,195,25,0.25175481745172,0.514576341831704,0.147663400231869,0.242,"Not significant",-0.00431714993940443,0.545,"Not significant","Others","No cold spot"
101,21,3,205,25,0.22402348168995,0.54340349052269,0.257069670596757,0.144,"Not significant",0.020464127234371,0.771,"Not significant","Others","No cold spot"
102,22,3,215,25,0.201266719176813,0.561450603206885,0.364024680558895,0.074,"Not significant",0.00063913524109272,0.996,"Not significant","Others","No cold spot"
103,23,3,225,25,0.202169270861997,0.531132576091783,0.33187999778396,0.11,"Not significant",0.00451615729452938,0.911,"Not significant","Others","No cold spot"
104,24,3,235,25,0.234205750579792,0.524894954073264,0.290120980939725,0.057,"Not significant",0.00693422015637541,0.73,"Not significant","Others","No cold spot"
105,25,3,245,25,0.133426909265138,0.621355730092121,0.622090198172128,0.061,"Not significant",0.109336228601762,0.695,"Not significant","Others","No cold spot"
106,26,3,255,25,0.0925062337499515,0.438723632574224,0.948271532867595,0.013,"LL",-0.0431552315065567,0.838,"Not significant","Others","Increase quantity"
107,27,3,265,25,0.0836508059614591,0.384455639882747,1.00240849639863,0.014,"LL",-0.020368524082177,0.936,"Not significant","Others","Increase quantity"
108,28,3,275,25,0.147402965021431,0.513936090091469,0.666674641321047,0.019,"LL",0.0034440774700128,0.676,"Not significant","Others","Increase quantity"
109,29,3,285,25,0.208664355181973,0.519290108528281,0.240347842577271,0.224,"Not significant",-0.00118985979284252,0.822,"Not significant","Others","No cold spot"
110,30,3,295,25,0.321072870387657,0.446108337296496,0.000813307647177524,0.931,"Not significant",0.128812477787482,0.508,"Not significant","Others","No cold spot"
111,31,3,305,25,0.411979607433856,0.440935689006221,0.0762456607436163,0.616,"Not significant",0.271753782700725,0.16,"Not significant","Others","No cold spot"
112,32,3,315,25,0.396448875203683,0.451271616394252,0.080520666493215,0.505,"Not significant",0.283377659170994,0.108,"Not significant","Others","No cold spot"
113,33,3,325,25,0.353593892651048,0.451234605804088,0.000596465217192915,0.991,"Not significant",0.359894637190762,0.036,"LL","Others","Increase quality"
114,34,3,335,25,0.259918566898855,0.360012042135178,0.0661469223697002,0.572,"Not significant",0.909951782044347,0.023,"LL","Others","Increase quality"
115,35,3,345,25,0.240638636103634,0.422895892240781,0.180450224067257,0.226,"Not significant",0.540379195628,0.022,"LL","Others","Increase quality"
116,36,3,355,25,0.163747356598755,0.435916536216687,0.259794247878352,0.342,"Not significant",0.297222065461753,0.146,"Not significant","Others","No cold spot"
117,37,3,365,25,0.279427002124408,0.514134720441886,0.0389328177688588,0.652,"Not significant",0.00602253829297633,0.435,"Not significant","Others","No cold spot"
118,38,3,375,25,0.375693021809092,0.5060601820205,0.0179163587267888,0.81,"Not significant",-0.000176514204567406,0.995,"Not significant","Others","No cold spot"
119,39,3,385,25,0.346105116216685,0.544696647871616,0.0246768960426167,0.476,"Not significant",0.0434226765725063,0.504,"Not significant","Others","No cold spot"
120,40,3,395,25,0.430068982101538,0.581370514135656,0.129593907881427,0.531,"Not significant",0.163140017120724,0.409,"Not significant","Others","No cold spot"
121,1,4,5,35,0.112729646660564,0.447987181089474,0.697004782305065,0.125,"Not significant",-0.0676406626481225,0.773,"Not significant","Others","No cold spot"
122,2,4,15,35,0.124703909754306,0.452211387385926,0.774453201205694,0.02,"LL",0.0699459389289066,0.692,"Not significant","Others","Increase quantity"
123,3,4,25,35,0.0953775578197035,0.416821527027039,0.948881238305502,0.013,"LL",0.159092837695256,0.553,"Not significant","Others","Increase quantity"
124,4,4,35,35,0.0900415489450594,0.4342933109536,1.05726658969996,0.007,"LL",0.148661093657275,0.494,"Not significant","Others","Increase quantity"
125,5,4,45,35,0.117235763557594,0.448787629230844,0.839243943921466,0.016,"LL",-0.0777457476133234,0.653,"Not significant","Others","Increase quantity"
126,6,4,55,35,0.138474236717948,0.547361554740205,0.675150470065583,0.027,"LL",0.0607186015899661,0.439,"Not significant","Others","Increase quantity"
127,7,4,65,35,0.160317914434788,0.591410081457237,0.533811009249385,0.051,"Not significant",0.104278280946182,0.579,"Not significant","Others","No cold spot"
128,8,4,75,35,0.183033874465525,0.581185361287555,0.461795113565118,0.064,"Not significant",-0.00870905188729228,0.953,"Not significant","Others","No cold spot"
129,9,4,85,35,0.174801255967806,0.490323541266458,0.486929872841944,0.045,"LL",0.0649002331826569,0.33,"Not significant","Others","Increase quantity"
130,10,4,95,35,0.14122934092185,0.347473241275102,0.626456398220331,0.04,"LL",0.724841124654422,0.108,"Not significant","Others","Increase quantity"
131,11,4,105,35,0.151041022148942,0.352564839397593,0.69513205292431,0.019,"LL",1.51470737422401,0.002,"LL","Cold spot","Increase both"
132,12,4,115,35,0.0998992342179967,0.162840792016924,0.92076729539255,0.016,"LL",3.88219621855816,0.001,"LL","Cold spot","Increase both"
133,13,4,125,35,0.124348381201234,0.260975119457837,0.879586963034712,0.015,"LL",3.60212736060628,0.001,"LL","Cold spot","Increase both"
134,14,4,135,35,0.114502380622103,0.214445889467416,0.887414487935213,0.007,"LL",4.34987111067186,0.001,"LL","Cold spot","Increase both"
135,15,4,145,35,0.112669098441067,0.246431619566665,0.884738351127901,0.015,"LL",3.35567121017336,0.001,"LL","Cold spot","Increase both"
136,16,4,155,35,0.175711257512943,0.451800754317243,0.572246285104776,0.028,"LL",0.613390788388712,0.002,"LL","Cold spot","Increase both"
137,17,4,165,35,0.184104788192791,0.521895528930512,0.432492845478464,0.054,"Not significant",-0.0139490572631891,0.237,"Not significant","Others","No cold spot"
138,18,4,175,35,0.187965473944405,0.530082038104237,0.339432358826473,0.141,"Not significant",0.0107231215548599,0.754,"Not significant","Others","No cold spot"
139,19,4,185,35,0.232516950764657,0.623530108708789,0.246384057089312,0.118,"Not significant",0.159678693715442,0.55,"Not significant","Others","No cold spot"
140,20,4,195,35,0.181224300538937,0.552261169505206,0.450205650509033,0.072,"Not significant",-0.0214203758112856,0.819,"Not significant","Others","No cold spot"
141,21,4,205,35,0.138112558837007,0.512786192674453,0.645675273754608,0.048,"LL",0.00681493506066338,0.53,"Not significant","Others","Increase quantity"
142,22,4,215,35,0.169438684881026,0.510513966420552,0.598341462420826,0.025,"LL",0.0173198597383291,0.309,"Not significant","Others","Increase quantity"
143,23,4,225,35,0.120085125602375,0.423273940565794,0.650643409901983,0.06,"Not significant",0.027279026771176,0.91,"Not significant","Others","No cold spot"
144,24,4,235,35,0.213230178860482,0.497710260013937,0.386445308115398,0.038,"LL",-0.00445657229933953,0.924,"Not significant","Others","Increase quantity"
145,25,4,245,35,0.150580294799482,0.484910185286563,0.521653733437624,0.064,"Not significant",-0.0468911116660414,0.585,"Not significant","Others","No cold spot"
146,26,4,255,35,0.224074155703578,0.616424484764411,0.383968848879584,0.016,"LL",-0.0442586944586763,0.849,"Not significant","Others","Increase quantity"
147,27,4,265,35,0.148175280673056,0.534113561819135,0.582980265848877,0.053,"Not significant",-0.00380950852123159,0.938,"Not significant","Others","No cold spot"
148,28,4,275,35,0.170292206746328,0.559032074044333,0.381287925305552,0.149,"Not significant",-0.014440736552621,0.895,"Not significant","Others","No cold spot"
149,29,4,285,35,0.256796461343475,0.557782372582599,0.0398524659540039,0.734,"Not significant",-0.0118979813637298,0.907,"Not significant","Others","No cold spot"
150,30,4,295,35,0.378633741822104,0.486363533208208,0.0675073221458194,0.442,"Not significant",0.0608217088078059,0.458,"Not significant","Others","No cold spot"
151,31,4,305,35,0.47131280268552,0.395943499223391,0.345905025673242,0.152,"Not significant",0.388007696450936,0.21,"Not significant","Others","No cold spot"
152,32,4,315,35,0.432493123529618,0.42640820458531,0.256231806288944,0.141,"Not significant",0.405680004161469,0.074,"Not significant","Others","No cold spot"
153,33,4,325,35,0.402350486256513,0.401859235510436,0.122150746033113,0.338,"Not significant",0.515040927349265,0.091,"Not significant","Others","No cold spot"
154,34,4,335,35,0.364237275967561,0.42795181215693,0.0211327414893247,0.762,"Not significant",0.393212240420942,0.086,"Not significant","Others","No cold spot"
155,35,4,345,35,0.269302931071543,0.424777710744986,0.0115274001474976,0.902,"Not significant",0.321387304483347,0.19,"Not significant","Others","No cold spot"
156,36,4,355,35,0.293998083859204,0.468987436431946,0.0156143991114561,0.765,"Not significant",0.0944843065334376,0.464,"Not significant","Others","No cold spot"
157,37,4,365,35,0.333142688542014,0.487464638918949,-0.00184746939699052,0.873,"Not significant",0.00968373179959351,0.896,"Not significant","Others","No cold spot"
158,38,4,375,35,0.327895099591622,0.505024653632082,0.000379957217369848,0.885,"Not significant",-0.0231467262204525,0.456,"Not significant","Others","No cold spot"
159,39,4,385,35,0.372703577788638,0.565452579199547,0.00753014950738296,0.933,"Not significant",0.199382155604449,0.109,"Not significant","Others","No cold spot"
160,40,4,395,35,0.321548550034521,0.651304173584116,-0.000837819548430687,0.947,"Not significant",0.657734723143875,0.114,"Not significant","Others","No cold spot"
161,1,5,5,45,0.235436240465107,0.572478139901561,0.140818960916132,0.481,"Not significant",0.132531302810752,0.471,"Not significant","Others","No cold spot"
162,2,5,15,45,0.29052378084826,0.608270235359911,0.0771592275937461,0.196,"Not significant",0.122997500917268,0.607,"Not significant","Others","No cold spot"
163,3,5,25,45,0.159926784506324,0.514437006823495,0.354658146654361,0.194,"Not significant",-0.00477505433438185,0.504,"Not significant","Others","No cold spot"
164,4,5,35,45,0.188445198309457,0.615699048785804,0.38938360852831,0.102,"Not significant",0.0556610219276185,0.827,"Not significant","Others","No cold spot"
165,5,5,45,45,0.154821080931197,0.546929222226839,0.48692405256742,0.1,"Not significant",0.0518403587872252,0.501,"Not significant","Others","No cold spot"
166,6,5,55,45,0.167796924820675,0.545244257278717,0.505087316464808,0.062,"Not significant",0.0546711327519749,0.439,"Not significant","Others","No cold spot"
167,7,5,65,45,0.154065545382664,0.533337143572588,0.575347640669677,0.05,"Not significant",0.0299661390356239,0.452,"Not significant","Others","No cold spot"
168,8,5,75,45,0.138322110323539,0.429988257760486,0.603722399815336,0.056,"Not significant",-0.177973726552506,0.435,"Not significant","Others","No cold spot"
169,9,5,85,45,0.206581503453667,0.558123817518304,0.397470589511924,0.044,"LL",-0.0662617030263943,0.528,"Not significant","Others","Increase quantity"
170,10,5,95,45,0.173862501038957,0.434157296954911,0.480097742713433,0.063,"Not significant",0.247874931063828,0.218,"Not significant","Others","No cold spot"
171,11,5,105,45,0.19174799347052,0.471486650997604,0.474333262098947,0.031,"LL",0.348740051955637,0.003,"LL","Cold spot","Increase both"
172,12,5,115,45,0.158006124015997,0.369367411116075,0.622310874230438,0.03,"LL",1.38294810540639,0.002,"LL","Cold spot","Increase both"
173,13,5,125,45,0.157366364390623,0.335306370113347,0.702148604042364,0.016,"LL",2.19440469274952,0.001,"LL","Cold spot","Increase both"
174,14,5,135,45,0.110166061855037,0.271513441983819,0.967946458204904,0.009,"LL",3.18272960124586,0.001,"LL","Cold spot","Increase both"
175,15,5,145,45,0.118954824644687,0.216691883714256,0.955220421345281,0.004,"LL",3.11623955652999,0.001,"LL","Cold spot","Increase both"
176,16,5,155,45,0.0929912337126777,0.311302196114917,1.03672889487877,0.008,"LL",1.50791883453666,0.01,"LL","Cold spot","Increase both"
177,17,5,165,45,0.109429966498676,0.413544569227287,0.844341834254402,0.024,"LL",0.167450544142891,0.522,"Not significant","Others","Increase quantity"
178,18,5,175,45,0.207402583290347,0.619536673166636,0.455779776056612,0.022,"LL",-0.116107219006701,0.676,"Not significant","Others","Increase quantity"
179,19,5,185,45,0.192212915093547,0.543595395671202,0.506731879384104,0.025,"LL",-0.0107795416254456,0.86,"Not significant","Others","Increase quantity"
180,20,5,195,45,0.122248333087069,0.517675176197093,0.855683243831902,0.015,"LL",-0.00179073757073022,0.116,"Not significant","Others","Increase quantity"
181,21,5,205,45,0.111166653164824,0.269484331343531,0.987503293248844,0.011,"LL",1.01582540003301,0.119,"Not significant","Others","Increase quantity"
182,22,5,215,45,0.134676163260969,0.437073808211628,0.907468030630058,0.008,"LL",0.48637578964214,0.017,"LL","Cold spot","Increase both"
183,23,5,225,45,0.128556800125744,0.46995118593161,0.771489960023521,0.021,"LL",0.145067051064384,0.241,"Not significant","Others","Increase quantity"
184,24,5,235,45,0.209907417973582,0.561290601644591,0.40822040897014,0.042,"LL",-0.0682687533095046,0.522,"Not significant","Others","Increase quantity"
185,25,5,245,45,0.221541679259375,0.555548818655911,0.27996496078095,0.115,"Not significant",0.0470494884543344,0.651,"Not significant","Others","No cold spot"
186,26,5,255,45,0.230574874502964,0.541070187061901,0.229817915259989,0.182,"Not significant",0.0412581970639253,0.493,"Not significant","Others","No cold spot"
187,27,5,265,45,0.220243607211949,0.510292539236429,0.160699418753407,0.413,"Not significant",-0.0165120807313919,0.379,"Not significant","Others","No cold spot"
188,28,5,275,45,0.283035050548248,0.539846673105688,0.0236106274181501,0.76,"Not significant",0.0329133484607934,0.581,"Not significant","Others","No cold spot"
189,29,5,285,45,0.397214688518848,0.525966986209024,0.0675293384553733,0.569,"Not significant",-0.00092713425604332,0.966,"Not significant","Others","No cold spot"
190,30,5,295,45,0.501059419970227,0.503004910589694,0.45486082552196,0.115,"Not significant",0.0304158664196044,0.426,"Not significant","Others","No cold spot"
191,31,5,305,45,0.498835006668687,0.451215806159142,0.658104353214774,0.03,"HH",0.222075635596753,0.213,"Not significant","Others","No cold spot"
